ticker,model,target,accuracy,auc,MAE,RMSE,CORR
AAPL,deberta,Binary_Price,0.5714285714285714,0.5354691075514874,,,
AAPL,deberta,Delta_Price,,,2.2768264987060878,3.128057194859129,0.12705869350362525
AAPL,deberta,Factor_Price,,,0.012470344371258475,0.015600596741249006,0.04635559568342761
AAPL,deberta,Float_Price,,,7.08281913231249,7.966591660197449,0.5566426738032686
AAPL,finbert,Binary_Price,0.5952380952380952,0.5354691075514875,,,
AAPL,finbert,Delta_Price,,,4.110415162404735,4.975499017151,0.09021386327502004
AAPL,finbert,Factor_Price,,,0.012622263493977952,0.016826627291299977,0.08752331593510225
AAPL,finbert,Float_Price,,,24.1806283967046,24.83868421873656,0.6155585317055776
AAPL,roberta,Binary_Price,0.5714285714285714,0.5812356979405034,,,
AAPL,roberta,Float_Price,,,23.681139101958937,23.945752724877156,0.7074478730238609
AMZN,deberta,Binary_Price,0.5238095238095238,0.44705882352941173,,,
AMZN,deberta,Delta_Price,,,4.15150515048389,4.801726350786327,-0.18540572082135046
AMZN,deberta,Factor_Price,,,0.023795486931914953,0.02761963543221823,-0.15791579271593228
AMZN,deberta,Float_Price,,,4.88666491104414,5.891048669915295,0.5953466168736868
AMZN,finbert,Binary_Price,0.5238095238095238,0.4211764705882353,,,
AMZN,finbert,Delta_Price,,,4.629072560586528,5.252995491781732,-0.07282229490203537
AMZN,finbert,Factor_Price,,,0.025970539641695396,0.02983030494889435,-0.18509680502330295
AMZN,finbert,Float_Price,,,6.504259301400669,7.590089388801509,0.6013084635437257
AMZN,roberta,Binary_Price,0.4523809523809524,0.4376470588235294,,,
AMZN,roberta,Float_Price,,,8.272609528531481,10.262348707323127,0.44639229995806873
GOOGL,deberta,Binary_Price,0.6428571428571429,0.5865384615384615,,,
GOOGL,deberta,Delta_Price,,,2.165157046795951,2.6606270269801704,0.04732428627632501
GOOGL,deberta,Factor_Price,,,0.036512175382163954,0.04180308072296841,0.0961379401622002
GOOGL,deberta,Float_Price,,,4.335333325008589,5.40780373076015,0.5434975588021904
GOOGL,finbert,Binary_Price,0.6904761904761905,0.5721153846153846,,,
GOOGL,finbert,Delta_Price,,,1.9698672886849626,2.477839806304639,-0.029075374387380278
GOOGL,finbert,Factor_Price,,,0.01685653236729058,0.01933358386564591,-0.026830504785768365
GOOGL,finbert,Float_Price,,,8.553385100705047,9.676063500435678,0.6871231097355599
GOOGL,roberta,Binary_Price,0.6666666666666666,0.5192307692307692,,,
GOOGL,roberta,Float_Price,,,6.4467813831412935,7.223675666850437,0.40323699866044005
META,deberta,Binary_Price,0.6190476190476191,0.3894230769230769,,,
META,deberta,Delta_Price,,,6.435851101682969,8.772350265360169,-0.09090429712985879
META,deberta,Factor_Price,,,0.011463293807457602,0.014548749663998628,-0.08499573062668762
META,deberta,Float_Price,,,43.972176466087525,48.98584502682299,0.6833139412335651
META,finbert,Binary_Price,0.5,0.47596153846153844,,,
META,finbert,Delta_Price,,,6.765596660827612,8.776218814025638,-0.07615298370163176
META,finbert,Factor_Price,,,0.014109292080776183,0.01736154754888142,-0.03902003114094561
META,finbert,Float_Price,,,39.10256128756201,43.841366158858385,0.617478979547521
MSFT,deberta,Binary_Price,0.6428571428571429,0.5636363636363636,,,
MSFT,deberta,Delta_Price,,,5.261929348520082,6.495280719524593,-0.27190042197273334
MSFT,deberta,Factor_Price,,,0.013351990551463662,0.01594846456009089,0.0167673870598475
MSFT,deberta,Float_Price,,,17.47776461462302,19.932732067491663,-0.1989631432415177
MSFT,finbert,Binary_Price,0.5714285714285714,0.45,,,
MSFT,finbert,Delta_Price,,,4.401824251992859,5.5668165333379305,-0.058045086593658375
MSFT,finbert,Factor_Price,,,0.014266011795332783,0.01691070909659734,-0.05791253434895464
MSFT,finbert,Float_Price,,,17.425007357371946,19.224980142160405,-0.04499508314390375
MSFT,roberta,Binary_Price,0.5952380952380952,0.4568181818181818,,,
NVDA,deberta,Binary_Price,0.47619047619047616,0.3882352941176471,,,
NVDA,deberta,Delta_Price,,,2.8837946034287354,3.845173993255607,-0.006962469675473042
NVDA,deberta,Factor_Price,,,0.024684097276675712,0.03280051276653504,0.004254489113508075
NVDA,deberta,Float_Price,,,8.322778667590837,10.317219978423392,0.5025105074510313
NVDA,finbert,Binary_Price,0.4523809523809524,0.39294117647058824,,,
NVDA,finbert,Delta_Price,,,3.045729047561216,4.071131373004843,-0.1477620674068592
NVDA,finbert,Factor_Price,,,0.02669080515000479,0.036046791692660105,-0.14235372277382
NVDA,finbert,Float_Price,,,16.356706864567972,19.975619011128423,-0.2592207571782735
TSLA,deberta,Binary_Price,0.5476190476190477,0.35469107551487417,,,
TSLA,deberta,Delta_Price,,,8.701883569342165,12.015806588816918,-0.14797516908090497
TSLA,deberta,Factor_Price,,,0.06039444093315061,0.07214155564633923,-0.017928369050573364
TSLA,deberta,Float_Price,,,25.996900114376828,28.84449797727124,0.10471281179847791
TSLA,finbert,Binary_Price,0.4523809523809524,0.28375286041189934,,,
TSLA,finbert,Delta_Price,,,13.49126315689403,16.09423808616306,-0.026794795378352262
TSLA,finbert,Factor_Price,,,0.040177901078285706,0.05261777131113335,-0.06633173541014173
TSLA,finbert,Float_Price,,,41.123718563638995,45.973951188903015,0.10121502501119103
TSLA,roberta,Binary_Price,0.4523809523809524,0.311212814645309,,,
TSLA,roberta,Float_Price,,,25.643034242286614,30.629043094227054,0.2865137526764887
