Ticker,Model,MAE,MAPE_%
AAPL,MLP,8.29260765082465,3.602543178162607
AAPL,LSTM,2.2600382751012607,0.9820989274927237
AAPL,FinBERT-LSTM,2.2673254564525362,0.9873567420948635
AMZN,MLP,3.649971924913198,1.9355945273400232
AMZN,LSTM,2.84912735351563,1.518248016057483
AMZN,FinBERT-LSTM,3.4848987792968766,1.8655362475548527
GOOGL,MLP,2.3586008503327522,1.43153016647735
GOOGL,LSTM,1.211183604600696,0.7399072034406761
GOOGL,FinBERT-LSTM,1.2862023404947904,0.7838988654914201
META,MLP,52.42262825593171,9.074283978103217
META,LSTM,31.072977144820605,5.372577341812225
META,FinBERT-LSTM,20.08375862630209,3.467233244590731
MSFT,MLP,2.768128137659131,0.6557348038908326
MSFT,LSTM,2.996894425274882,0.710015134031183
MSFT,FinBERT-LSTM,3.6123617509403854,0.853647297033238
NVDA,MLP,4.797426217176649,3.6083713616252426
NVDA,LSTM,4.795553373498988,3.606973505996356
NVDA,FinBERT-LSTM,5.99064444514974,4.4387390444006405
TSLA,MLP,23.195185014829274,9.45216646479161
TSLA,LSTM,6.682137767288778,2.7112954163705636
TSLA,FinBERT-LSTM,6.997741093749999,2.8393983685603637
