date,ticker,actual,predicted
2024-09-20,AAPL,228.1999969482422,226.72334
2024-09-23,AAPL,226.47000122070312,225.51416
2024-09-24,AAPL,227.36999511718753,224.48126
2024-09-25,AAPL,226.3699951171875,227.26604
2024-09-26,AAPL,227.5200042724609,226.60681
2024-09-27,AAPL,227.7899932861328,227.3497
2024-09-30,AAPL,233.0,226.22763
2024-10-01,AAPL,226.2100067138672,229.11423
2024-10-02,AAPL,226.77999877929688,223.79262
2024-10-03,AAPL,225.6699981689453,225.80222
2024-10-04,AAPL,226.8000030517578,223.62723
2024-10-07,AAPL,221.69000244140625,225.38542
2024-10-08,AAPL,225.7700042724609,220.41841
2024-10-09,AAPL,229.5399932861328,223.81728
2024-10-10,AAPL,229.0399932861328,225.05946
2024-10-11,AAPL,227.5500030517578,225.6741
2024-10-14,AAPL,231.30000305175778,224.97726
2024-10-15,AAPL,233.8500061035156,228.18011
2024-10-16,AAPL,231.77999877929688,229.32253
2024-10-17,AAPL,232.1499938964844,228.33551
2024-10-18,AAPL,235.0,229.21935
2024-10-21,AAPL,236.47999572753903,230.33598
2024-10-22,AAPL,235.8600006103516,231.5354
2024-10-23,AAPL,230.759994506836,230.95146
2024-10-24,AAPL,230.57000732421872,228.98447
2024-10-25,AAPL,231.41000366210932,228.69212
2024-10-28,AAPL,233.3999938964844,228.03185
2024-09-20,AMZN,191.6000061035156,189.46669
2024-09-23,AMZN,193.8800048828125,190.16562
2024-09-24,AMZN,193.9600067138672,191.47968
2024-09-25,AMZN,192.52999877929688,196.43896
2024-09-26,AMZN,191.16000366210932,195.17586
2024-09-27,AMZN,187.97000122070312,193.69106
2024-09-30,AMZN,186.3300018310547,188.37564
2024-10-01,AMZN,185.1300048828125,185.80315
2024-10-02,AMZN,184.759994506836,184.30128
2024-10-03,AMZN,181.9600067138672,183.35811
2024-10-04,AMZN,186.509994506836,182.44803
2024-10-07,AMZN,180.8000030517578,186.63475
2024-10-08,AMZN,182.72000122070312,181.72646
2024-10-09,AMZN,185.1699981689453,186.12653
2024-10-10,AMZN,186.6499938964844,186.90263
2024-10-11,AMZN,188.82000732421875,186.85988
2024-10-14,AMZN,187.5399932861328,191.29265
2024-10-15,AMZN,187.69000244140625,189.77545
2024-10-16,AMZN,186.88999938964844,189.56993
2024-10-17,AMZN,187.52999877929688,189.33559
2024-10-18,AMZN,188.9900054931641,188.56999
2024-10-21,AMZN,189.07000732421875,189.07237
2024-10-22,AMZN,189.6999969482422,188.74387
2024-10-23,AMZN,184.7100067138672,190.70882
2024-10-24,AMZN,186.3800048828125,186.4216
2024-10-25,AMZN,187.8300018310547,188.89148
2024-10-28,AMZN,188.38999938964844,187.99261
2024-09-20,GOOGL,163.58999633789062,162.23073
2024-09-23,GOOGL,161.85000610351562,163.81493
2024-09-24,GOOGL,162.2899932861328,162.10146
2024-09-25,GOOGL,161.49000549316406,163.04579
2024-09-26,GOOGL,162.72999572753906,162.66733
2024-09-27,GOOGL,163.9499969482422,163.4897
2024-09-30,GOOGL,165.85000610351562,164.64502
2024-10-01,GOOGL,166.99000549316406,166.41806
2024-10-02,GOOGL,165.86000061035156,167.43478
2024-10-03,GOOGL,165.86000061035156,166.76427
2024-10-04,GOOGL,167.05999755859375,166.63457
2024-10-07,GOOGL,162.97999572753906,168.1322
2024-10-08,GOOGL,164.3800048828125,164.19489
2024-10-09,GOOGL,161.86000061035156,166.09464
2024-10-10,GOOGL,162.0800018310547,163.16273
2024-10-11,GOOGL,163.24000549316406,163.05872
2024-10-14,GOOGL,164.9600067138672,163.77386
2024-10-15,GOOGL,165.4600067138672,165.45741
2024-10-16,GOOGL,165.16000366210938,166.40334
2024-10-17,GOOGL,162.92999267578125,165.55814
2024-10-18,GOOGL,163.4199981689453,163.24771
2024-10-21,GOOGL,164.07000732421875,164.38882
2024-10-22,GOOGL,165.13999938964844,165.06334
2024-10-23,GOOGL,162.77999877929688,166.24501
2024-10-24,GOOGL,162.72000122070312,163.23993
2024-10-25,GOOGL,165.27000427246094,163.45012
2024-10-28,GOOGL,166.72000122070312,166.93192
2024-09-20,META,561.3499755859375,537.62537
2024-09-23,META,564.4099731445312,539.96783
2024-09-24,META,563.3300170898438,544.0596
2024-09-25,META,568.3099975585938,542.79407
2024-09-26,META,567.8400268554688,546.18286
2024-09-27,META,567.3599853515625,544.96423
2024-09-30,META,572.4400024414062,544.16614
2024-10-01,META,576.469970703125,547.56165
2024-10-02,META,572.8099975585938,548.65515
2024-10-03,META,582.77001953125,547.8207
2024-10-04,META,595.9400024414062,552.15405
2024-10-07,META,584.780029296875,559.64026
2024-10-08,META,592.8900146484375,555.3847
2024-10-09,META,590.510009765625,558.34436
2024-10-10,META,583.8300170898438,558.1149
2024-10-11,META,589.9500122070312,554.0937
2024-10-14,META,590.4199829101562,555.3254
2024-10-15,META,586.27001953125,555.8949
2024-10-16,META,576.7899780273438,555.1427
2024-10-17,META,576.9299926757812,550.626
2024-10-18,META,576.469970703125,550.4586
2024-10-21,META,575.1599731445312,548.66656
2024-10-22,META,582.010009765625,547.7267
2024-10-23,META,563.6900024414062,552.1074
2024-10-24,META,567.780029296875,543.53735
2024-10-25,META,573.25,543.8095
2024-10-28,META,578.1599731445312,546.7749
2024-09-20,MSFT,435.2699890136719,442.11725
2024-09-23,MSFT,433.510009765625,431.82904
2024-09-24,MSFT,429.1700134277344,438.25095
2024-09-25,MSFT,432.10998535156244,426.54907
2024-09-26,MSFT,431.3099975585937,428.28104
2024-09-27,MSFT,428.0199890136719,427.66333
2024-09-30,MSFT,430.2999877929688,426.0026
2024-10-01,MSFT,420.6900024414063,432.37332
2024-10-02,MSFT,417.13000488281244,411.29147
2024-10-03,MSFT,416.5400085449219,420.63806
2024-10-04,MSFT,416.05999755859375,411.83545
2024-10-07,MSFT,409.5400085449218,416.11133
2024-10-08,MSFT,414.7099914550781,407.23822
2024-10-09,MSFT,417.4599914550781,413.10495
2024-10-10,MSFT,415.83999633789057,414.9723
2024-10-11,MSFT,416.32000732421875,414.95343
2024-10-14,MSFT,419.14001464843744,416.15323
2024-10-15,MSFT,418.739990234375,417.72513
2024-10-16,MSFT,416.11999511718756,420.0167
2024-10-17,MSFT,416.7200012207031,417.99814
2024-10-18,MSFT,418.1600036621093,416.14935
2024-10-21,MSFT,418.7799987792969,419.28958
2024-10-22,MSFT,427.510009765625,418.3256
2024-10-23,MSFT,424.6000061035156,425.12885
2024-10-24,MSFT,424.7300109863281,422.26376
2024-10-25,MSFT,428.14999389648443,425.42136
2024-10-28,MSFT,426.5899963378906,426.13986
2024-09-20,NVDA,116.0,121.374016
2024-09-23,NVDA,116.26000213623048,122.325226
2024-09-24,NVDA,120.87000274658203,119.9123
2024-09-25,NVDA,123.51000213623048,124.73615
2024-09-26,NVDA,124.04000091552734,128.26099
2024-09-27,NVDA,121.4000015258789,128.41492
2024-09-30,NVDA,121.44000244140624,125.04943
2024-10-01,NVDA,117.0,124.770386
2024-10-02,NVDA,118.8499984741211,123.21372
2024-10-03,NVDA,122.8499984741211,123.70722
2024-10-04,NVDA,124.91999816894531,125.48623
2024-10-07,NVDA,127.72000122070312,127.64361
2024-10-08,NVDA,132.88999938964844,130.57953
2024-10-09,NVDA,132.64999389648438,134.59937
2024-10-10,NVDA,134.80999755859375,134.29831
2024-10-11,NVDA,134.8000030517578,134.50128
2024-10-14,NVDA,138.07000732421875,135.52989
2024-10-15,NVDA,131.60000610351562,135.67055
2024-10-16,NVDA,135.72000122070312,132.73859
2024-10-17,NVDA,136.92999267578125,132.38881
2024-10-18,NVDA,138.0,134.34566
2024-10-21,NVDA,143.7100067138672,134.50163
2024-10-22,NVDA,143.58999633789062,136.25383
2024-10-23,NVDA,139.55999755859375,137.44656
2024-10-24,NVDA,140.41000366210938,135.91574
2024-10-25,NVDA,141.5399932861328,134.13246
2024-10-28,NVDA,140.52000427246094,136.26703
2024-09-20,TSLA,238.25,247.92027
2024-09-23,TSLA,249.99999999999997,238.54265
2024-09-24,TSLA,254.27000427246094,248.2658
2024-09-25,TSLA,257.0199890136719,249.71275
2024-09-26,TSLA,254.2200012207031,249.79153
2024-09-27,TSLA,260.4599914550781,245.4998
2024-09-30,TSLA,261.6300048828125,251.11653
2024-10-01,TSLA,258.0199890136719,246.87091
2024-10-02,TSLA,249.0200042724609,249.52725
2024-10-03,TSLA,240.66000366210932,245.25203
2024-10-04,TSLA,250.0800018310547,242.33755
2024-10-07,TSLA,240.8300018310547,246.59047
2024-10-08,TSLA,244.5,238.49677
2024-10-09,TSLA,241.0500030517578,240.9126
2024-10-10,TSLA,238.7700042724609,240.13667
2024-10-11,TSLA,217.8000030517578,237.07962
2024-10-14,TSLA,219.16000366210932,221.066
2024-10-15,TSLA,219.57000732421875,217.2098
2024-10-16,TSLA,221.3300018310547,221.12506
2024-10-17,TSLA,220.88999938964844,225.47241
2024-10-18,TSLA,220.6999969482422,218.79482
2024-10-21,TSLA,218.8500061035156,220.51602
2024-10-22,TSLA,217.97000122070312,217.19481
2024-10-23,TSLA,213.6499938964844,217.20947
2024-10-24,TSLA,260.4800109863281,214.97115
2024-10-25,TSLA,269.19000244140625,255.25928
2024-10-28,TSLA,262.510009765625,254.08875
