date,ticker,actual,predicted
2024-09-20,AAPL,228.1999969482422,223.14572
2024-09-23,AAPL,226.47000122070312,224.5155
2024-09-24,AAPL,227.36999511718753,222.7909
2024-09-25,AAPL,226.3699951171875,223.43832
2024-09-26,AAPL,227.5200042724609,222.79124
2024-09-27,AAPL,227.7899932861328,222.52785
2024-09-30,AAPL,233.0,223.06282
2024-10-01,AAPL,226.2100067138672,227.46448
2024-10-02,AAPL,226.77999877929688,224.86737
2024-10-03,AAPL,225.6699981689453,222.21422
2024-10-04,AAPL,226.8000030517578,222.19725
2024-10-07,AAPL,221.69000244140625,222.72305
2024-10-08,AAPL,225.7700042724609,219.42902
2024-10-09,AAPL,229.5399932861328,220.42857
2024-10-10,AAPL,229.0399932861328,225.39517
2024-10-11,AAPL,227.5500030517578,225.63907
2024-10-14,AAPL,231.30000305175778,223.31732
2024-10-15,AAPL,233.8500061035156,225.77675
2024-10-16,AAPL,231.77999877929688,229.09897
2024-10-17,AAPL,232.1499938964844,227.62378
2024-10-18,AAPL,235.0,226.48956
2024-10-21,AAPL,236.47999572753903,229.73924
2024-10-22,AAPL,235.8600006103516,231.69293
2024-10-23,AAPL,230.759994506836,230.68335
2024-10-24,AAPL,230.57000732421872,226.90698
2024-10-25,AAPL,231.41000366210932,226.42432
2024-10-28,AAPL,233.3999938964844,227.15907
2024-09-20,AMZN,191.6000061035156,184.87018
2024-09-23,AMZN,193.8800048828125,186.38683
2024-09-24,AMZN,193.9600067138672,188.89735
2024-09-25,AMZN,192.52999877929688,189.54646
2024-09-26,AMZN,191.16000366210932,189.35782
2024-09-27,AMZN,187.97000122070312,188.25645
2024-09-30,AMZN,186.3300018310547,185.86505
2024-10-01,AMZN,185.1300048828125,184.15062
2024-10-02,AMZN,184.759994506836,182.66827
2024-10-03,AMZN,181.9600067138672,182.22559
2024-10-04,AMZN,186.509994506836,180.62685
2024-10-07,AMZN,180.8000030517578,183.01204
2024-10-08,AMZN,182.72000122070312,180.47604
2024-10-09,AMZN,185.1699981689453,181.29404
2024-10-10,AMZN,186.6499938964844,181.74718
2024-10-11,AMZN,188.82000732421875,183.29457
2024-10-14,AMZN,187.5399932861328,184.61984
2024-10-15,AMZN,187.69000244140625,184.68878
2024-10-16,AMZN,186.88999938964844,185.3626
2024-10-17,AMZN,187.52999877929688,184.41576
2024-10-18,AMZN,188.9900054931641,184.47083
2024-10-21,AMZN,189.07000732421875,184.88287
2024-10-22,AMZN,189.6999969482422,185.3799
2024-10-23,AMZN,184.7100067138672,186.16924
2024-10-24,AMZN,186.3800048828125,183.76587
2024-10-25,AMZN,187.8300018310547,184.12509
2024-10-28,AMZN,188.38999938964844,184.03084
2024-09-20,GOOGL,163.58999633789062,160.44414
2024-09-23,GOOGL,161.85000610351562,162.57085
2024-09-24,GOOGL,162.2899932861328,162.2748
2024-09-25,GOOGL,161.49000549316406,162.27419
2024-09-26,GOOGL,162.72999572753906,161.56325
2024-09-27,GOOGL,163.9499969482422,162.32027
2024-09-30,GOOGL,165.85000610351562,163.00192
2024-10-01,GOOGL,166.99000549316406,163.8967
2024-10-02,GOOGL,165.86000061035156,164.2965
2024-10-03,GOOGL,165.86000061035156,163.84532
2024-10-04,GOOGL,167.05999755859375,164.23706
2024-10-07,GOOGL,162.97999572753906,165.32884
2024-10-08,GOOGL,164.3800048828125,163.5747
2024-10-09,GOOGL,161.86000061035156,164.04114
2024-10-10,GOOGL,162.0800018310547,161.77342
2024-10-11,GOOGL,163.24000549316406,161.65572
2024-10-14,GOOGL,164.9600067138672,161.42137
2024-10-15,GOOGL,165.4600067138672,162.77309
2024-10-16,GOOGL,165.16000366210938,162.71536
