date,ticker,actual,predicted
2024-09-20,AAPL,228.1999969482422,225.69624
2024-09-23,AAPL,226.47000122070312,224.58463
2024-09-24,AAPL,227.36999511718753,224.61661
2024-09-25,AAPL,226.3699951171875,224.90285
2024-09-26,AAPL,227.5200042724609,224.03447
2024-09-27,AAPL,227.7899932861328,225.01314
2024-09-30,AAPL,233.0,224.86842
2024-10-01,AAPL,226.2100067138672,228.47722
2024-10-02,AAPL,226.77999877929688,223.33545
2024-10-03,AAPL,225.6699981689453,225.42128
2024-10-04,AAPL,226.8000030517578,223.08206
2024-10-07,AAPL,221.69000244140625,224.64159
2024-10-08,AAPL,225.7700042724609,220.22299
2024-10-09,AAPL,229.5399932861328,224.27242
2024-10-10,AAPL,229.0399932861328,225.66415
2024-10-11,AAPL,227.5500030517578,225.60106
2024-10-14,AAPL,231.30000305175778,224.99197
2024-10-15,AAPL,233.8500061035156,227.52843
2024-10-16,AAPL,231.77999877929688,228.46875
2024-10-17,AAPL,232.1499938964844,227.56451
2024-10-18,AAPL,235.0,228.17459
2024-10-21,AAPL,236.47999572753903,229.43185
2024-10-22,AAPL,235.8600006103516,230.13037
2024-10-23,AAPL,230.759994506836,229.96759
2024-10-24,AAPL,230.57000732421872,227.15283
2024-10-25,AAPL,231.41000366210932,227.38791
2024-10-28,AAPL,233.3999938964844,227.09563
2024-09-20,AMZN,191.6000061035156,189.6984
2024-09-23,AMZN,193.8800048828125,189.77187
2024-09-24,AMZN,193.9600067138672,193.13234
2024-09-25,AMZN,192.52999877929688,192.75113
2024-09-26,AMZN,191.16000366210932,192.47423
2024-09-27,AMZN,187.97000122070312,190.62445
2024-09-30,AMZN,186.3300018310547,187.21858
2024-10-01,AMZN,185.1300048828125,185.94986
2024-10-02,AMZN,184.759994506836,183.97713
2024-10-03,AMZN,181.9600067138672,184.2236
2024-10-04,AMZN,186.509994506836,181.1557
2024-10-07,AMZN,180.8000030517578,187.19476
2024-10-08,AMZN,182.72000122070312,178.88417
2024-10-09,AMZN,185.1699981689453,185.71434
2024-10-10,AMZN,186.6499938964844,184.19868
2024-10-11,AMZN,188.82000732421875,186.96956
2024-10-14,AMZN,187.5399932861328,188.5312
2024-10-15,AMZN,187.69000244140625,187.60701
2024-10-16,AMZN,186.88999938964844,188.51918
2024-10-17,AMZN,187.52999877929688,186.6873
2024-10-18,AMZN,188.9900054931641,187.78574
2024-10-21,AMZN,189.07000732421875,188.06259
2024-10-22,AMZN,189.6999969482422,188.35118
2024-10-23,AMZN,184.7100067138672,189.30504
2024-10-24,AMZN,186.3800048828125,184.00986
2024-10-25,AMZN,187.8300018310547,187.95975
2024-10-28,AMZN,188.38999938964844,186.1462
2024-09-20,GOOGL,163.58999633789062,161.50955
2024-09-23,GOOGL,161.85000610351562,162.68446
2024-09-24,GOOGL,162.2899932861328,161.52583
2024-09-25,GOOGL,161.49000549316406,162.0817
2024-09-26,GOOGL,162.72999572753906,161.2958
2024-09-27,GOOGL,163.9499969482422,162.222
2024-09-30,GOOGL,165.85000610351562,162.99164
2024-10-01,GOOGL,166.99000549316406,164.5303
2024-10-02,GOOGL,165.86000061035156,165.54529
2024-10-03,GOOGL,165.86000061035156,164.93378
2024-10-04,GOOGL,167.05999755859375,165.28737
2024-10-07,GOOGL,162.97999572753906,166.21481
2024-10-08,GOOGL,164.3800048828125,162.86253
2024-10-09,GOOGL,161.86000061035156,164.2306
2024-10-10,GOOGL,162.0800018310547,161.68787
2024-10-11,GOOGL,163.24000549316406,161.88194
2024-10-14,GOOGL,164.9600067138672,162.4227
2024-10-15,GOOGL,165.4600067138672,163.65732
2024-10-16,GOOGL,165.16000366210938,164.11809
2024-10-17,GOOGL,162.92999267578125,164.1772
2024-10-18,GOOGL,163.4199981689453,162.66954
2024-10-21,GOOGL,164.07000732421875,163.19531
2024-10-22,GOOGL,165.13999938964844,163.41702
2024-10-23,GOOGL,162.77999877929688,164.15077
2024-10-24,GOOGL,162.72000122070312,162.27757
2024-10-25,GOOGL,165.27000427246094,162.43091
