date,ticker,finbert_score
2023-11-13,AAPL,-0.9443577527999878
2023-11-13,AMZN,-0.48656341433525085
2023-11-13,MSFT,0.0
2023-11-13,TSLA,0.34498695135116575
2023-11-14,AAPL,0.9509544372558594
2023-11-14,AMZN,-0.004056811332702637
2023-11-14,GOOGL,-0.913555920124054
2023-11-14,MSFT,0.0
2023-11-14,NVDA,0.700924426317215
2023-11-14,TSLA,0.0
2023-11-15,GOOGL,0.6540813744068146
2023-11-15,NVDA,0.0
2023-11-15,TSLA,0.0
2023-11-16,AAPL,0.08754417300224304
2023-11-16,AMZN,-0.044193912636150016
2023-11-16,GOOGL,-0.41994109749794006
2023-11-16,META,-0.7747463583946228
2023-11-16,MSFT,0.6214555501937866
2023-11-16,TSLA,0.2646663983662923
2023-11-17,AAPL,-0.2988486091295878
2023-11-17,AMZN,-0.0663982480764389
2023-11-17,META,-0.9480364918708801
2023-11-17,MSFT,-0.47995181381702423
2023-11-17,NVDA,0.8849645256996155
2023-11-20,GOOGL,0.0
2023-11-20,META,0.0
2023-11-20,TSLA,0.5773202776908875
2023-11-21,AAPL,0.47751253843307495
2023-11-21,AMZN,0.7530698776245117
2023-11-21,MSFT,0.0
2023-11-21,NVDA,0.9506893157958984
2023-11-21,TSLA,-0.3732706606388092
2023-11-22,AAPL,-0.838469386100769
2023-11-22,AMZN,-0.4991013050079346
2023-11-22,GOOGL,-0.47032371163368225
2023-11-22,META,-0.9573860764503479
2023-11-22,MSFT,0.2809678912162781
2023-11-22,NVDA,0.4047273482595171
2023-11-24,AMZN,-0.6409109632174174
2023-11-24,META,-0.824829638004303
2023-11-24,NVDA,0.03331857919692993
2023-11-24,TSLA,0.6955840885639191
2023-11-27,AAPL,0.18744993209838867
2023-11-27,AMZN,-0.3532427191734314
2023-11-27,META,-0.8913167715072632
2023-11-27,TSLA,-0.5693559274077415
2023-11-28,AAPL,0.0
2023-11-28,AMZN,0.4595081607500712
2023-11-28,MSFT,-0.18185311555862427
2023-11-28,NVDA,0.8214605450630188
2023-11-28,TSLA,0.0
2023-11-29,AAPL,0.0
2023-11-29,AMZN,0.2968430944851467
2023-11-29,GOOGL,0.1522347629070282
2023-11-29,META,-0.3728921413421631
2023-11-29,MSFT,0.0
2023-11-29,NVDA,0.9298580884933472
2023-11-29,TSLA,-0.20889413356781006
2023-11-30,AAPL,0.31730689108371735
2023-11-30,AMZN,0.28546300530433655
2023-11-30,MSFT,0.0
2023-12-01,AAPL,-0.5528976917266846
2023-12-01,AMZN,0.6002146005630493
2023-12-01,META,0.0
2023-12-01,MSFT,-0.9394779205322266
2023-12-01,TSLA,-0.03836706280708313
2023-12-04,AAPL,-0.47755754987398785
2023-12-04,AMZN,0.4697977304458618
2023-12-04,META,-0.9540578961372376
2023-12-04,NVDA,0.8872288167476654
2023-12-04,TSLA,-0.974833607673645
2023-12-05,AMZN,-0.9596357345581055
2023-12-06,AMZN,-0.47006458044052124
2023-12-06,GOOGL,0.0
2023-12-06,META,0.3397323787212372
2023-12-06,MSFT,-0.45354124903678894
2023-12-06,NVDA,0.0
2023-12-06,TSLA,0.0
2023-12-07,AAPL,0.09377105236053467
2023-12-07,GOOGL,0.7236566543579102
2023-12-07,META,-0.9590134024620056
2023-12-07,TSLA,-0.20430077825273787
2023-12-08,AAPL,0.43782365322113037
2023-12-08,AMZN,0.1873827427625656
2023-12-08,META,-0.4100939631462097
2023-12-08,MSFT,-0.28039869997236466
2023-12-08,NVDA,-0.8956717252731323
2023-12-08,TSLA,0.0006912589073181152
2023-12-11,AMZN,0.0
2023-12-11,MSFT,0.9395027756690979
2023-12-11,NVDA,0.3716514348983765
2023-12-12,AAPL,0.27485861380894977
2023-12-12,AMZN,0.0
2023-12-12,GOOGL,-0.09587712585926056
2023-12-12,MSFT,0.0
2023-12-12,NVDA,-0.6798611283302307
2023-12-13,AAPL,-0.1441156268119812
2023-12-13,GOOGL,0.736991822719574
2023-12-13,META,0.0
2023-12-13,NVDA,0.0
2023-12-13,TSLA,-0.6109537780284882
2023-12-14,AAPL,0.0
2023-12-14,AMZN,0.12331715226173401
2023-12-14,GOOGL,0.0
2023-12-14,META,-0.3184744715690613
2023-12-14,TSLA,-0.5875712931156158
2023-12-15,AAPL,-0.9581312537193298
2023-12-15,GOOGL,0.7337039709091187
2023-12-15,META,-0.8739500343799591
2023-12-15,MSFT,-0.9085476994514465
2023-12-15,TSLA,-0.6732164025306702
2023-12-18,AAPL,-0.7911598384380341
2023-12-18,AMZN,0.19590087731679282
2023-12-18,TSLA,0.8492335081100464
2023-12-19,AAPL,-0.5484052300453186
2023-12-19,AMZN,0.90718674659729
2023-12-19,GOOGL,0.49920705954233807
2023-12-19,NVDA,0.0
2023-12-19,TSLA,-0.31457048654556274
2023-12-20,AAPL,-0.225125253200531
2023-12-20,AMZN,0.4964933594067891
2023-12-20,GOOGL,0.0
2023-12-20,META,-0.4821207523345947
2023-12-20,MSFT,-0.4772743284702301
2023-12-20,TSLA,-0.9345524609088898
2023-12-21,AAPL,-0.9111712574958801
2023-12-21,AMZN,0.003104165196418762
2023-12-21,GOOGL,0.0
2023-12-21,MSFT,-0.7536638379096985
2023-12-21,NVDA,0.9338527917861938
2023-12-21,TSLA,-0.5649512648582459
2023-12-22,TSLA,-0.08108152449131012
2023-12-26,AMZN,0.0
2023-12-26,NVDA,0.0
2023-12-27,AAPL,-0.22403903305530548
2023-12-27,AMZN,0.4138655960559845
2023-12-27,META,0.9195525646209717
2023-12-27,MSFT,-0.8765331506729126
2023-12-27,NVDA,0.7447912693023682
2023-12-27,TSLA,0.40240752696990967
2023-12-28,AAPL,0.4720282256603241
2023-12-28,AMZN,0.09179453055063884
2023-12-28,MSFT,0.9478717744350433
2023-12-28,NVDA,0.46709689497947693
2023-12-28,TSLA,0.9139001369476318
2023-12-29,AMZN,0.0
2023-12-29,GOOGL,-0.9526354670524597
2023-12-29,META,0.9322910904884338
2023-12-29,NVDA,0.5252208709716797
2024-01-02,AAPL,-0.7850440442562103
2024-01-02,AMZN,-0.7112876772880554
2024-01-02,META,0.9518728852272034
2024-01-02,NVDA,0.0
2024-01-02,TSLA,0.8361809783511691
2024-01-03,AMZN,0.0
2024-01-03,GOOGL,0.7438083291053772
2024-01-03,TSLA,0.272409987449646
2024-01-04,AMZN,-0.5795643329620361
2024-01-04,NVDA,0.6326720714569092
2024-01-04,TSLA,0.0
2024-01-05,AAPL,-0.6496988932291666
2024-01-05,GOOGL,0.0
