date,ticker,actual,predicted
2024-09-20,AAPL,228.1999969482422,226.42024
2024-09-23,AAPL,226.47000122070312,228.30359
2024-09-24,AAPL,227.36999511718753,226.65009
2024-09-25,AAPL,226.3699951171875,227.9778
2024-09-26,AAPL,227.5200042724609,227.11955
2024-09-27,AAPL,227.7899932861328,227.26854
2024-09-30,AAPL,233.0,226.93346
2024-10-01,AAPL,226.2100067138672,231.52725
2024-10-02,AAPL,226.77999877929688,228.00436
2024-10-03,AAPL,225.6699981689453,226.13972
2024-10-04,AAPL,226.8000030517578,226.19896
2024-10-07,AAPL,221.69000244140625,226.12192
2024-10-08,AAPL,225.7700042724609,222.77252
2024-10-09,AAPL,229.5399932861328,223.45982
2024-10-10,AAPL,229.0399932861328,228.9704
2024-10-11,AAPL,227.5500030517578,228.88464
2024-10-14,AAPL,231.30000305175778,227.74753
2024-10-15,AAPL,233.8500061035156,230.07774
2024-10-16,AAPL,231.77999877929688,233.98831
2024-10-17,AAPL,232.1499938964844,232.1429
2024-10-18,AAPL,235.0,231.60452
2024-10-21,AAPL,236.47999572753903,234.36458
2024-10-22,AAPL,235.8600006103516,236.45663
2024-10-23,AAPL,230.75999450683594,235.72185
2024-10-24,AAPL,230.57000732421872,231.52333
2024-10-25,AAPL,231.41000366210935,230.52945
2024-10-28,AAPL,233.3999938964844,231.07689
2024-09-20,AMZN,191.6000061035156,188.44698
2024-09-23,AMZN,193.8800048828125,189.79938
2024-09-24,AMZN,193.9600067138672,192.3614
2024-09-25,AMZN,192.52999877929688,193.58853
2024-09-26,AMZN,191.16000366210935,193.7635
2024-09-27,AMZN,187.97000122070312,192.61234
2024-09-30,AMZN,186.3300018310547,190.07883
2024-10-01,AMZN,185.1300048828125,188.10144
2024-10-02,AMZN,184.75999450683597,186.16231
2024-10-03,AMZN,181.9600067138672,185.56348
2024-10-04,AMZN,186.50999450683597,183.76912
2024-10-07,AMZN,180.8000030517578,186.22095
2024-10-08,AMZN,182.72000122070312,183.71219
2024-10-09,AMZN,185.1699981689453,184.6222
2024-10-10,AMZN,186.6499938964844,185.49191
2024-10-11,AMZN,188.82000732421875,187.18759
2024-10-14,AMZN,187.5399932861328,188.34128
2024-10-15,AMZN,187.69000244140625,188.67178
2024-10-16,AMZN,186.88999938964844,189.02692
2024-10-17,AMZN,187.52999877929688,188.31155
2024-10-18,AMZN,188.9900054931641,188.86891
2024-10-21,AMZN,189.07000732421875,188.56505
2024-10-22,AMZN,189.6999969482422,188.97272
2024-10-23,AMZN,184.7100067138672,189.67162
2024-10-24,AMZN,186.3800048828125,187.36334
2024-10-25,AMZN,187.8300018310547,187.8835
2024-10-28,AMZN,188.38999938964844,188.01949
2024-09-20,GOOGL,163.58999633789062,159.41145
2024-09-23,GOOGL,161.85000610351562,161.18088
2024-09-24,GOOGL,162.2899932861328,161.38266
2024-09-25,GOOGL,161.49000549316406,161.25995
2024-09-26,GOOGL,162.72999572753906,160.45938
2024-09-27,GOOGL,163.9499969482422,160.82085
2024-09-30,GOOGL,165.85000610351562,161.51607
2024-10-01,GOOGL,166.99000549316406,162.90953
2024-10-02,GOOGL,165.86000061035156,163.90387
2024-10-03,GOOGL,165.86000061035156,163.75368
2024-10-04,GOOGL,167.05999755859375,163.79753
2024-10-07,GOOGL,162.97999572753906,164.41147
2024-10-08,GOOGL,164.3800048828125,163.06564
2024-10-09,GOOGL,161.86000061035156,163.04536
2024-10-10,GOOGL,162.0800018310547,161.44107
2024-10-11,GOOGL,163.24000549316406,160.91751
2024-10-14,GOOGL,164.9600067138672,160.63828
2024-10-15,GOOGL,165.4600067138672,161.68541
2024-10-16,GOOGL,165.16000366210938,162.40808
2024-10-17,GOOGL,162.92999267578125,162.5003
2024-10-18,GOOGL,163.4199981689453,161.70451
2024-10-21,GOOGL,164.07000732421875,161.5748
2024-10-22,GOOGL,165.13999938964844,161.76094
2024-10-23,GOOGL,162.77999877929688,162.7734
2024-10-24,GOOGL,162.72000122070312,161.99815
2024-10-25,GOOGL,165.27000427246094,161.37086
2024-10-28,GOOGL,166.72000122070312,161.83862
2024-09-20,META,561.3499755859375,510.64682
2024-09-23,META,564.4099731445312,515.00195
2024-09-24,META,563.3300170898438,516.8945
