"Date","Price","Open","High","Low","Vol.","Change %"
"05/08/2023","105.83","105.04","106.10","104.70","49.43M","0.17%"
"05/05/2023","105.65","104.27","105.76","103.55","56.95M","1.59%"
"05/04/2023","104.00","104.04","105.39","103.31","45.35M","0.34%"
"05/03/2023","103.65","103.74","105.96","103.28","65.05M","0.02%"
"05/02/2023","103.63","101.47","103.90","101.15","73.47M","1.55%"
"05/01/2023","102.05","104.95","105.23","101.82","74.73M","-3.22%"
"04/28/2023","105.45","107.73","109.48","104.33","130.72M","-3.98%"
"04/27/2023","109.82","108.16","110.86","106.80","149.96M","4.61%"
"04/26/2023","104.98","105.04","106.62","104.10","73.80M","2.35%"
"04/25/2023","102.57","104.91","105.45","102.45","65.03M","-3.43%"
"04/24/2023","106.21","107.65","109.23","105.07","69.58M","-0.70%"
"04/21/2023","106.96","106.10","108.15","105.08","86.77M","3.03%"
"04/20/2023","103.81","103.53","105.25","103.21","57.70M","-0.47%"
"04/19/2023","104.30","101.58","105.12","101.39","58.40M","1.96%"
"04/18/2023","102.30","103.95","104.20","101.52","39.79M","-0.43%"
"04/17/2023","102.74","103.16","103.73","101.59","39.92M","0.22%"
"04/14/2023","102.51","102.07","103.20","101.11","51.45M","0.11%"
"04/13/2023","102.40","98.95","102.57","98.71","67.93M","4.67%"
"04/12/2023","97.83","100.40","100.51","97.71","56.74M","-2.09%"
"04/11/2023","99.92","100.80","101.00","99.01","60.42M","-2.20%"
"04/10/2023","102.17","100.96","102.20","99.57","37.26M","0.11%"
"04/06/2023","102.06","100.75","102.38","99.80","43.81M","0.95%"
"04/05/2023","101.10","103.91","103.91","100.75","45.18M","-2.74%"
"04/04/2023","103.95","102.75","104.20","102.11","48.66M","1.50%"
"04/03/2023","102.41","102.30","103.29","101.43","41.14M","-0.85%"
"03/31/2023","103.29","102.16","103.49","101.95","56.75M","1.26%"
"03/30/2023","102.00","101.55","103.04","101.01","53.63M","1.75%"
"03/29/2023","100.25","98.69","100.42","98.56","49.78M","3.10%"
"03/28/2023","97.24","98.11","98.44","96.29","38.72M","-0.82%"
"03/27/2023","98.04","99.07","99.34","97.08","46.72M","-0.09%"
"03/24/2023","98.13","98.07","98.30","96.40","56.14M","-0.59%"
"03/23/2023","98.71","100.43","101.06","97.62","57.56M","0.01%"
"03/22/2023","98.70","100.45","102.10","98.61","57.48M","-1.90%"
"03/21/2023","100.61","98.14","100.85","98.00","58.60M","2.97%"
"03/20/2023","97.71","98.41","98.48","95.70","62.39M","-1.25%"
"03/17/2023","98.95","99.79","100.66","97.46","87.30M","-1.09%"
"03/16/2023","100.04","95.75","100.99","95.61","84.56M","3.99%"
"03/15/2023","96.20","93.22","96.67","93.07","70.73M","1.39%"
"03/14/2023","94.88","93.83","95.07","92.71","60.91M","2.65%"
"03/13/2023","92.43","89.97","94.02","88.12","72.40M","1.87%"
"03/10/2023","90.73","92.67","93.57","90.25","69.83M","-1.65%"
"03/09/2023","92.25","93.68","96.21","92.18","56.22M","-1.78%"
"03/08/2023","93.92","93.60","94.17","92.18","44.90M","0.40%"
"03/07/2023","93.55","94.06","95.09","92.78","49.10M","-0.21%"
"03/06/2023","93.75","95.19","96.54","93.74","52.11M","-1.21%"
"03/03/2023","94.90","92.74","94.94","92.66","55.76M","3.01%"
"03/02/2023","92.13","91.41","92.23","90.39","55.57M","-0.04%"
"03/01/2023","92.17","93.87","94.68","91.59","52.30M","-2.19%"
"02/28/2023","94.23","93.14","94.69","92.92","43.96M","0.50%"
"02/27/2023","93.76","94.28","94.78","93.14","47.47M","0.28%"
"02/24/2023","93.50","93.53","94.14","92.32","57.05M","-2.42%"
"02/23/2023","95.82","96.12","96.43","93.67","48.47M","0.03%"
"02/22/2023","95.79","95.10","97.01","94.80","59.53M","1.28%"
"02/21/2023","94.58","95.33","95.61","94.27","56.58M","-2.70%"
"02/17/2023","97.20","97.80","97.94","95.65","60.03M","-0.97%"
"02/16/2023","98.15","99.21","100.63","98.10","56.34M","-2.98%"
"02/15/2023","101.16","99.09","101.17","98.45","48.05M","1.46%"
"02/14/2023","99.70","98.41","100.92","97.52","56.20M","0.16%"
"02/13/2023","99.54","97.85","99.68","96.91","52.84M","1.98%"
"02/10/2023","97.61","97.56","98.82","96.23","52.74M","-0.64%"
"02/09/2023","98.24","101.32","101.78","97.57","64.62M","-1.81%"
"02/08/2023","100.05","102.04","102.67","98.78","75.88M","-2.02%"
"02/07/2023","102.11","101.17","102.41","98.08","119.50M","-0.07%"
"02/06/2023","102.18","102.93","103.95","100.65","81.95M","-1.17%"
"02/03/2023","103.39","105.26","108.78","102.52","144.37M","-8.43%"
"02/02/2023","112.91","110.25","114.00","108.88","158.15M","7.38%"
"02/01/2023","105.15","102.53","106.24","101.24","80.45M","1.96%"
"01/31/2023","103.13","101.15","103.35","101.14","66.53M","2.57%"
"01/30/2023","100.55","101.09","101.74","99.01","70.69M","-1.65%"
"01/27/2023","102.24","99.53","103.49","99.53","87.78M","3.04%"
"01/26/2023","99.22","98.24","99.49","96.92","68.52M","2.10%"
"01/25/2023","97.18","92.56","97.24","91.52","94.26M","0.89%"
"01/24/2023","96.32","96.93","98.09","96.00","66.93M","-1.23%"
"01/23/2023","97.52","97.56","97.78","95.86","76.50M","0.28%"
"01/20/2023","97.25","93.86","97.35","93.20","67.48M","3.81%"
"01/19/2023","93.68","94.74","95.44","92.86","69.00M","-1.86%"
"01/18/2023","95.46","97.25","99.32","95.38","79.57M","-0.61%"
"01/17/2023","96.05","98.68","98.89","95.73","72.76M","-2.11%"
"01/13/2023","98.12","94.18","98.37","94.12","85.55M","2.99%"
"01/12/2023","95.27","96.93","97.19","93.50","85.25M","0.19%"
"01/11/2023","95.09","90.93","95.26","90.93","103.13M","5.81%"
"01/10/2023","89.87","87.57","90.18","87.29","67.76M","2.87%"
"01/09/2023","87.36","87.46","89.48","87.08","65.27M","1.49%"
"01/06/2023","86.08","83.03","86.40","81.43","83.30M","3.56%"
"01/05/2023","83.12","85.33","85.42","83.07","67.93M","-2.37%"
"01/04/2023","85.14","86.55","86.98","83.36","68.89M","-0.79%"
"01/03/2023","85.82","85.46","86.96","84.21","76.71M","2.17%"
"12/30/2022","84.00","83.12","84.05","82.47","62.40M","-0.21%"
"12/29/2022","84.18","82.87","84.55","82.55","55.00M","2.88%"
"12/28/2022","81.82","82.80","83.48","81.69","58.23M","-1.47%"
"12/27/2022","83.04","84.97","85.35","83.00","57.28M","-2.59%"
"12/23/2022","85.25","83.25","85.78","82.93","57.43M","1.74%"
"12/22/2022","83.79","85.52","85.68","82.25","81.43M","-3.43%"
"12/21/2022","86.77","86.18","87.22","85.21","59.27M","1.85%"
"12/20/2022","85.19","85.33","86.61","84.33","74.35M","0.32%"
"12/19/2022","84.92","87.51","87.63","84.51","83.53M","-3.35%"
"12/16/2022","87.86","88.26","89.35","86.73","146.14M","-0.67%"
"12/15/2022","88.45","89.89","89.97","87.47","84.80M","-3.42%"
"12/14/2022","91.58","92.50","93.46","89.87","70.30M","-0.98%"
"12/13/2022","92.49","95.23","96.25","90.52","100.21M","2.14%"
"12/12/2022","90.55","89.21","90.58","87.87","62.00M","1.64%"
"12/09/2022","89.09","88.90","90.30","88.63","67.40M","-1.39%"
"12/08/2022","90.35","89.24","90.86","87.88","73.31M","2.14%"
"12/07/2022","88.46","88.34","89.89","87.48","68.09M","0.24%"
"12/06/2022","88.25","90.50","91.04","87.90","75.50M","-3.03%"
"12/05/2022","91.01","93.05","94.06","90.82","71.54M","-3.31%"
"12/02/2022","94.13","94.47","95.36","93.78","72.50M","-1.43%"
"12/01/2022","95.50","96.99","97.23","94.92","68.49M","-1.08%"
"11/30/2022","96.54","92.47","96.54","91.53","102.81M","4.46%"
"11/29/2022","92.42","94.04","94.41","91.44","65.57M","-1.63%"
"11/28/2022","93.95","93.93","96.40","93.43","75.06M","0.58%"
"11/25/2022","93.41","93.79","94.43","93.07","35.09M","-0.76%"
"11/23/2022","94.13","93.24","94.58","92.83","59.41M","1.00%"
"11/22/2022","93.20","92.62","93.35","90.87","62.19M","0.80%"
"11/21/2022","92.46","93.97","95.02","90.59","84.33M","-1.78%"
"11/18/2022","94.14","95.95","95.99","92.48","72.43M","-0.75%"
"11/17/2022","94.85","95.37","96.97","94.03","82.62M","-2.34%"
"11/16/2022","97.12","96.85","98.49","95.54","87.96M","-1.84%"
"11/15/2022","98.94","103.21","103.79","97.34","111.34M","0.46%"
"11/14/2022","98.49","98.77","100.12","97.29","99.53M","-2.28%"
"11/11/2022","100.79","97.88","101.19","96.66","111.59M","4.31%"
"11/10/2022","96.63","92.93","98.69","91.65","173.41M","12.18%"
"11/09/2022","86.14","89.47","89.48","85.87","90.80M","-4.27%"
"11/08/2022","89.98","90.79","91.72","88.23","88.70M","-0.61%"
"11/07/2022","90.53","91.95","92.10","89.04","77.50M","-0.49%"
"11/04/2022","90.98","91.49","92.44","88.04","129.10M","1.88%"
"11/03/2022","89.30","92.47","93.50","89.02","136.68M","-3.06%"
"11/02/2022","92.12","97.32","97.74","92.01","135.76M","-4.82%"
"11/01/2022","96.79","103.99","104.58","96.06","153.37M","-5.52%"
"10/31/2022","102.44","103.56","104.87","100.74","99.25M","-0.94%"
"10/28/2022","103.41","97.90","103.96","97.66","223.13M","-6.80%"
"10/27/2022","110.96","113.92","114.12","109.77","129.61M","-4.06%"
"10/26/2022","115.66","116.00","119.35","114.76","69.00M","-4.10%"
"10/25/2022","120.60","119.65","121.32","118.95","50.93M","0.65%"
"10/24/2022","119.82","119.98","120.39","116.57","49.53M","0.42%"
"10/21/2022","119.32","114.79","119.59","114.50","55.66M","3.53%"
"10/20/2022","115.25","113.83","118.24","113.51","48.80M","0.16%"
"10/19/2022","115.07","114.71","116.59","113.22","47.20M","-1.11%"
"10/18/2022","116.36","119.06","119.52","114.79","65.61M","2.26%"
"10/17/2022","113.79","110.11","114.19","110.09","62.78M","6.45%"
"10/14/2022","106.90","114.10","114.96","106.60","67.74M","-5.00%"
"10/13/2022","112.53","107.88","113.44","105.35","86.87M","-0.33%"
"10/12/2022","112.90","112.49","113.83","111.40","45.73M","0.61%"
"10/11/2022","112.21","112.71","115.48","110.39","56.43M","-1.28%"
"10/10/2022","113.67","115.10","116.25","112.43","42.34M","-0.78%"
"10/07/2022","114.56","118.00","118.17","113.88","54.68M","-4.77%"
"10/06/2022","120.30","120.77","121.53","119.50","42.25M","-0.54%"
"10/05/2022","120.95","118.58","121.75","117.69","48.22M","-0.12%"
"10/04/2022","121.09","119.89","123.00","119.79","62.81M","4.50%"
"10/03/2022","115.88","113.58","116.91","112.45","50.94M","2.55%"
"09/30/2022","113.00","114.07","116.92","112.84","59.48M","-1.57%"
"09/29/2022","114.80","115.60","116.07","113.06","58.97M","-2.72%"
"09/28/2022","118.01","114.38","118.70","113.80","55.76M","3.15%"
"09/27/2022","114.41","117.19","118.32","113.05","60.09M","-0.64%"
"09/26/2022","115.15","113.29","117.34","113.13","62.72M","1.20%"
"09/23/2022","113.78","116.00","116.05","112.06","65.13M","-3.01%"
"09/22/2022","117.31","117.08","118.79","116.26","55.23M","-1.04%"
"09/21/2022","118.54","122.49","123.76","118.45","58.50M","-2.99%"
"09/20/2022","122.19","123.35","124.40","121.14","47.70M","-1.98%"
"09/19/2022","124.66","122.16","124.71","121.80","47.28M","0.91%"
"09/16/2022","123.53","122.78","123.87","120.70","115.67M","-2.18%"
"09/15/2022","126.28","127.38","130.37","125.50","52.89M","-1.77%"
"09/14/2022","128.55","127.36","128.84","126.33","45.32M","1.36%"
"09/13/2022","126.82","131.01","131.40","126.27","72.69M","-7.06%"
"09/12/2022","136.45","134.10","136.49","134.00","53.83M","2.39%"
"09/09/2022","133.27","130.91","133.69","130.76","49.42M","2.66%"
"09/08/2022","129.82","127.72","130.28","127.10","43.99M","0.26%"
"09/07/2022","129.48","126.12","129.82","125.40","47.83M","2.67%"
"09/06/2022","126.11","127.92","128.62","124.74","43.89M","-1.10%"
"09/02/2022","127.51","129.50","131.38","126.39","57.43M","-0.24%"
"09/01/2022","127.82","126.00","128.02","123.66","56.64M","0.83%"
"08/31/2022","126.77","129.45","130.59","126.74","53.65M","-1.52%"
"08/30/2022","128.73","131.25","132.07","126.85","49.20M","-0.82%"
"08/29/2022","129.79","129.90","131.95","128.77","48.10M","-0.73%"
"08/26/2022","130.75","136.55","137.83","130.50","53.32M","-4.76%"
"08/25/2022","137.28","135.26","137.42","134.28","37.50M","2.60%"
"08/24/2022","133.80","132.75","135.47","132.10","38.63M","0.13%"
"08/23/2022","133.62","133.41","134.99","132.95","36.25M","0.30%"
"08/22/2022","133.22","135.72","136.32","132.85","50.46M","-3.62%"
"08/19/2022","138.23","140.47","141.11","137.91","47.79M","-2.86%"
"08/18/2022","142.30","141.32","142.77","140.38","37.46M","0.14%"
"08/17/2022","142.10","142.69","143.38","140.78","48.15M","-1.85%"
"08/16/2022","144.78","143.90","146.57","142.00","59.10M","1.12%"
"08/15/2022","143.18","142.80","143.76","141.49","39.01M","-0.26%"
"08/12/2022","143.55","142.05","143.57","140.12","47.64M","2.07%"
"08/11/2022","140.64","143.86","144.49","139.76","44.87M","-1.44%"
"08/10/2022","142.69","142.90","144.60","141.01","54.77M","3.53%"
"08/09/2022","137.83","138.05","138.95","136.21","40.43M","-1.13%"
"08/08/2022","139.41","142.05","144.23","138.29","52.30M","-0.99%"
"08/05/2022","140.80","140.10","142.86","139.60","50.69M","-1.24%"
"08/04/2022","142.57","140.58","143.56","139.55","70.59M","2.19%"
"08/03/2022","139.52","136.21","140.49","136.05","71.83M","4.00%"
"08/02/2022","134.16","134.72","137.44","134.09","61.92M","-0.91%"
"08/01/2022","135.39","134.96","138.83","133.51","76.85M","0.33%"
"07/29/2022","134.95","134.90","137.65","132.41","148.89M","10.36%"
"07/28/2022","122.28","121.57","122.84","118.08","82.25M","1.08%"
"07/27/2022","120.97","117.31","121.90","117.16","61.58M","5.37%"
"07/26/2022","114.81","115.79","118.15","114.53","67.08M","-5.23%"
"07/25/2022","121.14","122.69","123.64","120.03","50.22M","-1.05%"
"07/22/2022","122.42","125.01","125.50","121.35","51.46M","-1.77%"
"07/21/2022","124.63","123.20","124.85","121.26","60.24M","1.52%"
"07/20/2022","122.77","118.61","123.47","118.32","71.27M","3.86%"
"07/19/2022","118.21","115.70","118.95","114.03","60.99M","3.91%"
"07/18/2022","113.76","115.00","117.24","113.15","59.12M","0.18%"
"07/15/2022","113.55","112.50","115.59","111.59","84.32M","2.64%"
"07/14/2022","110.63","110.24","111.18","107.58","51.16M","0.21%"
"07/13/2022","110.40","107.03","111.78","106.01","61.35M","1.08%"
"07/12/2022","109.22","112.16","113.23","108.34","54.28M","-2.26%"
"07/11/2022","111.75","114.08","114.30","110.87","53.54M","-3.28%"
"07/08/2022","115.54","114.60","116.58","113.69","45.72M","-0.68%"
"07/07/2022","116.33","113.85","116.99","113.49","57.87M","1.75%"
"07/06/2022","114.33","113.21","115.48","112.01","66.96M","0.73%"
"07/05/2022","113.50","107.60","114.08","106.32","76.68M","3.60%"
"07/01/2022","109.56","106.29","109.75","105.85","73.02M","3.15%"
"06/30/2022","106.21","108.11","108.18","102.52","97.68M","-2.49%"
"06/29/2022","108.92","107.38","110.99","106.91","66.38M","1.42%"
"06/28/2022","107.40","113.50","114.85","107.04","75.17M","-5.14%"
"06/27/2022","113.22","117.09","117.98","112.70","62.13M","-2.78%"
"06/24/2022","116.46","112.38","116.71","111.43","69.87M","3.58%"
"06/23/2022","112.44","110.39","113.00","107.93","64.35M","3.20%"
"06/22/2022","108.95","107.43","112.13","107.02","60.04M","0.25%"
"06/21/2022","108.68","108.20","111.63","103.56","70.90M","2.32%"
"06/17/2022","106.22","102.80","106.98","102.51","99.77M","2.47%"
"06/16/2022","103.66","104.47","104.58","102.01","82.19M","-3.72%"
"06/15/2022","107.67","103.86","109.06","103.53","85.01M","5.24%"
"06/14/2022","102.31","104.19","104.88","101.43","69.73M","-1.31%"
"06/13/2022","103.67","104.19","106.54","101.86","99.28M","-5.45%"
"06/10/2022","109.65","113.42","114.50","109.05","87.41M","-5.60%"
"06/09/2022","116.15","119.99","121.30","116.10","67.03M","-4.15%"
"06/08/2022","121.18","122.61","123.75","120.75","64.93M","-1.48%"
"06/07/2022","123.00","122.00","124.10","120.63","85.16M","-1.43%"
"06/06/2022","124.79","125.25","128.99","123.81","135.27M","1.99%"
"06/03/2022","122.35","124.20","124.40","121.05","97.60M","-2.52%"
"06/02/2022","125.51","121.68","125.61","120.04","100.56M","3.15%"
"06/01/2022","121.68","122.26","125.18","120.62","127.53M","1.23%"
"05/31/2022","120.21","116.28","121.99","115.68","144.63M","4.40%"
"05/27/2022","115.15","113.55","115.19","112.63","93.66M","3.66%"
"05/26/2022","111.08","107.97","112.67","107.45","93.00M","4.03%"
"05/25/2022","106.78","103.66","108.17","103.65","93.12M","2.57%"
"05/24/2022","104.10","104.03","105.40","101.26","102.93M","-3.21%"
"05/23/2022","107.56","108.46","108.82","103.95","107.80M","-0.03%"
"05/20/2022","107.59","109.57","109.90","105.01","99.50M","0.25%"
"05/19/2022","107.32","106.28","110.03","106.19","88.14M","0.19%"
"05/18/2022","107.11","111.44","112.85","106.25","108.38M","-7.16%"
"05/17/2022","115.37","113.28","115.80","111.28","76.45M","4.11%"
"05/16/2022","110.81","113.10","113.99","110.35","74.57M","-1.99%"
"05/13/2022","113.06","109.07","113.18","107.80","93.68M","5.73%"
"05/12/2022","106.93","102.75","110.78","102.41","132.03M","1.48%"
"05/11/2022","105.37","108.10","110.16","104.43","109.70M","-3.20%"
"05/10/2022","108.86","111.25","112.64","107.17","105.43M","0.06%"
"05/09/2022","108.79","111.31","114.00","107.96","128.12M","-5.21%"
"05/06/2022","114.77","114.85","119.05","113.08","124.26M","-1.40%"
"05/05/2022","116.41","123.00","123.50","115.07","144.39M","-7.56%"
"05/04/2022","125.93","123.60","126.00","119.18","110.75M","1.35%"
"05/03/2022","124.25","124.05","126.22","122.82","79.13M","-0.20%"
"05/02/2022","124.50","122.40","124.67","118.38","148.79M","0.18%"
"04/29/2022","124.28","129.85","130.76","121.63","272.66M","-14.05%"
"04/28/2022","144.60","142.18","145.94","140.30","117.32M","4.65%"
"04/27/2022","138.17","140.19","141.95","135.78","71.34M","-0.88%"
"04/26/2022","139.39","144.80","144.86","138.93","77.53M","-4.58%"
"04/25/2022","146.07","144.02","146.22","142.31","61.88M","1.19%"
"04/22/2022","144.35","148.25","149.62","143.70","73.08M","-2.66%"
"04/21/2022","148.30","154.71","156.74","147.59","63.97M","-3.70%"
"04/20/2022","154.00","157.60","157.60","153.60","59.63M","-2.60%"
"04/19/2022","158.12","152.03","158.65","151.55","54.93M","3.49%"
"04/18/2022","152.79","151.52","154.04","150.25","46.51M","0.71%"
"04/14/2022","151.71","155.39","155.90","151.47","51.60M","-2.47%"
"04/13/2022","155.54","150.02","156.02","149.60","53.39M","3.15%"
"04/12/2022","150.79","153.69","155.10","150.38","55.18M","-0.22%"
"04/11/2022","151.12","152.71","154.14","150.53","52.11M","-2.16%"
"04/08/2022","154.46","156.75","157.37","154.23","46.00M","-2.11%"
"04/07/2022","157.78","158.40","160.08","154.51","68.14M","-0.61%"
"04/06/2022","158.76","161.65","162.20","157.25","79.06M","-3.23%"
"04/05/2022","164.05","167.74","168.11","163.27","53.73M","-2.55%"
"04/04/2022","168.35","164.13","168.39","163.21","50.01M","2.93%"
"04/01/2022","163.56","164.15","165.83","162.32","57.09M","0.35%"
"03/31/2022","163.00","166.44","166.49","162.95","59.97M","-1.99%"
"03/30/2022","166.30","168.51","168.95","165.50","56.17M","-1.78%"
"03/29/2022","169.32","170.38","170.83","167.87","66.15M","0.19%"
"03/28/2022","168.99","164.98","169.04","164.90","59.85M","2.56%"
