"Date","Price","Open","High","Low","Vol.","Change %"
"11/27/2024","569.20","574.89","574.98","564.10","7.20M","-0.76%"
"11/26/2024","573.54","566.00","577.50","565.20","10.36M","1.49%"
"11/25/2024","565.11","562.10","572.59","556.39","13.60M","1.07%"
"11/22/2024","559.14","563.55","563.83","554.59","9.16M","-0.70%"
"11/21/2024","563.09","569.52","570.00","549.05","11.15M","-0.43%"
"11/20/2024","565.52","562.93","566.35","554.20","9.80M","0.79%"
"11/19/2024","561.09","551.86","561.43","550.60","9.52M","1.21%"
"11/18/2024","554.40","557.04","559.90","550.09","14.35M","0.06%"
"11/15/2024","554.08","571.22","572.57","551.50","17.71M","-4.00%"
"11/14/2024","577.16","577.00","580.76","573.01","11.05M","-0.49%"
"11/13/2024","580.00","582.60","585.64","575.17","10.76M","-0.82%"
"11/12/2024","584.82","588.54","599.66","580.38","16.29M","0.28%"
"11/11/2024","583.17","586.36","587.00","576.51","10.21M","-1.05%"
"11/08/2024","589.34","591.54","593.10","584.52","9.42M","-0.40%"
"11/07/2024","591.70","576.89","594.80","575.21","14.65M","3.44%"
"11/06/2024","572.05","562.75","573.00","555.17","18.31M","-0.07%"
"11/05/2024","572.43","567.30","573.48","566.67","9.78M","2.10%"
"11/04/2024","560.68","564.10","568.69","557.89","12.06M","-1.14%"
"11/01/2024","567.16","567.60","573.67","562.56","15.30M","-0.07%"
"10/31/2024","567.58","585.00","589.90","563.01","26.84M","-4.09%"
"10/30/2024","591.80","600.98","601.20","589.38","26.86M","-0.25%"
"10/29/2024","593.28","580.15","593.67","575.40","13.02M","2.62%"
"10/28/2024","578.16","582.00","583.75","574.12","10.93M","0.86%"
"10/25/2024","573.25","573.93","581.29","571.72","11.34M","0.96%"
"10/24/2024","567.78","567.13","568.88","561.52","7.18M","0.73%"
"10/23/2024","563.69","579.97","585.00","562.50","14.25M","-3.15%"
"10/22/2024","582.01","574.29","583.53","572.12","8.54M","1.19%"
"10/21/2024","575.16","576.03","577.24","569.11","8.17M","-0.23%"
"10/18/2024","576.47","581.10","583.97","575.25","7.69M","-0.08%"
"10/17/2024","576.93","583.33","584.97","575.20","8.70M","0.02%"
"10/16/2024","576.79","581.40","582.08","574.03","11.27M","-1.62%"
"10/15/2024","586.27","590.16","590.61","580.14","9.56M","-0.70%"
"10/14/2024","590.42","594.22","600.10","589.96","8.25M","0.08%"
"10/11/2024","589.95","584.83","591.21","582.71","8.59M","1.05%"
"10/10/2024","583.83","587.57","590.23","582.52","7.74M","-1.13%"
"10/09/2024","590.51","593.99","594.39","581.61","9.53M","-0.40%"
"10/08/2024","592.89","589.69","593.56","585.97","7.86M","1.39%"
"10/07/2024","584.78","598.22","602.95","584.04","12.01M","-1.87%"
"10/04/2024","595.94","583.73","596.85","581.43","14.20M","2.26%"
"10/03/2024","582.77","570.15","583.36","568.73","11.58M","1.74%"
"10/02/2024","572.81","574.86","576.00","569.34","6.52M","-0.63%"
"10/01/2024","576.47","577.98","583.04","570.10","15.26M","0.70%"
"09/30/2024","572.44","567.70","574.68","564.80","12.81M","0.90%"
"09/27/2024","567.36","570.10","570.84","564.51","9.40M","-0.08%"
"09/26/2024","567.84","575.73","577.40","562.35","14.40M","-0.08%"
"09/25/2024","568.31","564.05","576.88","563.72","16.54M","0.88%"
"09/24/2024","563.33","566.68","567.74","554.19","12.99M","-0.19%"
"09/23/2024","564.41","569.50","573.98","562.41","12.83M","0.55%"
"09/20/2024","561.35","560.00","564.50","556.30","22.07M","0.40%"
"09/19/2024","559.10","550.00","562.07","546.52","15.65M","3.93%"
"09/18/2024","537.95","537.07","544.20","533.90","10.32M","0.30%"
"09/17/2024","536.32","537.60","542.10","530.57","11.69M","0.57%"
"09/16/2024","533.28","524.54","534.10","517.40","9.53M","1.65%"
"09/13/2024","524.62","520.34","527.58","517.11","10.32M","-0.19%"
"09/12/2024","525.60","517.05","526.71","515.22","11.99M","2.69%"
"09/11/2024","511.83","507.01","513.12","495.60","10.78M","1.39%"
"09/10/2024","504.79","508.16","514.18","500.03","9.90M","0.00%"
"09/09/2024","504.79","506.16","511.33","502.08","11.05M","0.90%"
"09/06/2024","500.27","521.88","524.58","498.25","14.74M","-3.21%"
"09/05/2024","516.86","511.72","521.63","511.15","8.64M","0.80%"
"09/04/2024","512.74","506.07","516.59","504.07","8.34M","0.19%"
"09/03/2024","511.76","519.64","525.49","508.62","12.46M","-1.83%"
"08/30/2024","521.31","521.35","523.54","515.20","9.16M","0.60%"
"08/29/2024","518.22","519.05","527.20","515.68","8.32M","0.28%"
"08/28/2024","516.78","517.67","521.09","512.45","9.11M","-0.45%"
"08/27/2024","519.10","518.98","524.01","515.31","6.28M","-0.39%"
"08/26/2024","521.12","527.60","528.00","514.95","9.58M","-1.30%"
"08/23/2024","528.00","536.92","539.87","525.06","11.32M","-0.74%"
"08/22/2024","531.93","537.00","544.23","528.59","15.71M","-0.60%"
"08/21/2024","535.16","527.15","539.40","526.93","13.42M","1.60%"
"08/20/2024","526.73","528.35","531.09","525.88","7.94M","-0.48%"
"08/19/2024","529.28","526.87","531.66","522.76","9.88M","0.35%"
"08/16/2024","527.42","531.90","533.66","524.66","14.78M","-1.84%"
"08/15/2024","537.33","531.79","539.77","526.70","13.48M","2.01%"
"08/14/2024","526.76","528.06","534.00","523.13","11.44M","-0.34%"
"08/13/2024","528.54","520.01","531.50","518.15","13.74M","2.44%"
"08/12/2024","515.95","516.86","518.02","509.10","9.77M","-0.35%"
"08/09/2024","517.77","507.71","518.34","505.70","13.70M","1.60%"
"08/08/2024","509.63","497.50","509.96","494.72","16.16M","4.24%"
"08/07/2024","488.92","503.13","510.15","486.86","20.11M","-1.05%"
"08/06/2024","494.09","479.00","502.56","478.65","20.95M","3.86%"
"08/05/2024","475.73","451.35","483.48","450.80","21.40M","-2.54%"
"08/02/2024","488.14","489.00","501.14","476.15","24.04M","-1.93%"
"08/01/2024","497.74","521.00","527.17","492.10","43.08M","4.82%"
"07/31/2024","474.83","471.02","476.50","466.75","24.29M","2.51%"
"07/30/2024","463.19","467.00","472.73","456.70","11.39M","-0.54%"
"07/29/2024","465.71","469.88","473.96","465.02","11.34M","0.00%"
"07/26/2024","465.70","464.20","469.77","459.42","14.22M","2.71%"
"07/25/2024","453.41","463.26","463.55","442.65","18.24M","-1.70%"
"07/24/2024","461.27","472.30","476.30","460.58","17.65M","-5.61%"
"07/23/2024","488.69","489.84","495.22","487.72","9.46M","0.26%"
"07/22/2024","487.40","486.58","492.06","483.90","12.02M","2.23%"
"07/19/2024","476.79","476.06","486.71","475.71","15.15M","0.20%"
"07/18/2024","475.85","475.00","479.24","464.54","19.27M","3.00%"
"07/17/2024","461.99","479.17","479.17","459.12","28.08M","-5.68%"
"07/16/2024","489.79","501.50","503.95","485.79","14.08M","-1.28%"
"07/15/2024","496.16","498.63","506.68","493.37","12.54M","-0.54%"
"07/12/2024","498.87","497.76","508.09","494.23","19.75M","-2.70%"
"07/11/2024","512.70","530.89","535.46","508.37","16.46M","-4.11%"
"07/10/2024","534.69","530.79","538.88","528.36","10.98M","0.88%"
"07/09/2024","530.00","533.75","537.48","528.19","8.77M","0.13%"
"07/08/2024","529.32","542.35","542.81","526.65","14.92M","-1.96%"
"07/05/2024","539.91","511.60","540.87","511.60","21.35M","5.87%"
"07/03/2024","509.96","506.37","511.28","506.02","6.01M","0.09%"
"07/02/2024","509.50","500.76","510.50","499.45","7.74M","0.96%"
"07/01/2024","504.68","504.95","506.58","493.17","10.33M","0.09%"
"06/28/2024","504.22","517.15","521.88","503.84","15.86M","-2.95%"
"06/27/2024","519.56","514.25","522.88","513.90","10.12M","1.26%"
"06/26/2024","513.12","506.64","513.81","504.68","8.88M","0.49%"
"06/25/2024","510.60","497.05","510.71","495.50","12.11M","2.34%"
"06/24/2024","498.91","499.20","507.80","494.29","13.53M","0.83%"
"06/21/2024","494.78","503.45","503.45","492.39","23.13M","-1.38%"
"06/20/2024","501.70","502.00","503.67","496.77","11.80M","0.44%"
"06/18/2024","499.49","504.56","506.00","495.02","13.06M","-1.41%"
"06/17/2024","506.63","501.67","510.75","496.01","11.27M","0.49%"
"06/14/2024","504.16","502.65","507.15","500.75","10.24M","0.01%"
"06/13/2024","504.10","505.71","509.36","501.36","9.95M","-0.93%"
"06/12/2024","508.84","513.99","514.01","504.47","11.98M","0.27%"
"06/11/2024","507.47","500.16","507.60","498.27","9.67M","0.97%"
"06/10/2024","502.60","493.86","502.66","493.41","11.24M","1.96%"
"06/07/2024","492.96","495.91","498.91","490.17","9.38M","-0.16%"
"06/06/2024","493.76","492.98","502.82","490.89","10.67M","-0.26%"
"06/05/2024","495.06","484.45","496.65","483.91","15.69M","3.79%"
"06/04/2024","476.99","477.00","478.89","473.23","7.09M","-0.10%"
"06/03/2024","477.49","470.86","479.60","468.24","11.28M","2.28%"
"05/31/2024","466.83","465.80","469.12","454.46","16.92M","-0.05%"
"05/30/2024","467.05","471.67","471.73","464.71","10.74M","-1.54%"
"05/29/2024","474.36","474.66","479.85","473.70","9.23M","-1.16%"
"05/28/2024","479.92","476.58","480.86","474.84","10.18M","0.36%"
"05/24/2024","478.22","467.62","479.85","466.30","12.02M","2.67%"
"05/23/2024","465.78","472.88","474.36","461.54","11.75M","-0.43%"
"05/22/2024","467.78","467.87","473.72","465.65","10.08M","0.68%"
"05/21/2024","464.63","467.12","470.70","462.27","11.74M","-0.90%"
"05/20/2024","468.84","469.95","473.20","467.04","11.75M","-0.65%"
"05/17/2024","471.91","470.83","472.80","468.42","10.81M","-0.28%"
"05/16/2024","473.23","475.00","477.69","472.75","16.61M","-1.73%"
"05/15/2024","481.54","474.98","482.50","471.20","13.10M","2.05%"
"05/14/2024","471.85","463.37","472.54","460.08","10.48M","0.82%"
"05/13/2024","468.01","472.75","473.35","462.85","14.67M","-1.72%"
"05/10/2024","476.20","477.09","477.50","469.60","10.75M","0.16%"
"05/09/2024","475.42","470.00","476.08","467.63","9.44M","0.60%"
"05/08/2024","472.60","463.50","475.58","463.00","11.68M","0.93%"
"05/07/2024","468.24","466.29","471.53","461.31","13.41M","0.55%"
"05/06/2024","465.68","455.58","466.16","453.34","15.09M","3.04%"
"05/03/2024","451.96","445.93","454.17","443.85","16.49M","2.33%"
"05/02/2024","441.68","438.84","443.96","432.28","15.22M","0.57%"
"05/01/2024","439.19","428.60","449.96","427.11","20.34M","2.10%"
"04/30/2024","430.17","431.05","439.62","429.72","18.43M","-0.57%"
"04/29/2024","432.62","439.56","439.76","428.56","21.50M","-2.41%"
"04/26/2024","443.29","441.46","446.44","431.96","32.69M","0.43%"
"04/25/2024","441.38","421.40","445.77","414.50","82.89M","-10.56%"
"04/24/2024","493.50","508.06","510.00","484.58","37.77M","-0.52%"
"04/23/2024","496.10","491.25","498.76","488.97","15.08M","2.98%"
"04/22/2024","481.73","489.71","492.01","473.40","17.27M","0.14%"
"04/19/2024","481.07","502.80","502.80","475.73","25.22M","-4.13%"
"04/18/2024","501.80","499.82","512.21","499.04","14.81M","1.54%"
"04/17/2024","494.17","503.10","503.16","487.14","12.19M","-1.12%"
"04/16/2024","499.76","498.11","504.77","497.11","9.85M","-0.09%"
"04/15/2024","500.23","516.72","518.53","497.28","13.51M","-2.28%"
"04/12/2024","511.90","517.75","520.19","509.33","11.98M","-2.15%"
"04/11/2024","523.16","521.11","523.86","517.29","10.37M","0.64%"
"04/10/2024","519.83","509.29","522.56","505.80","11.42M","0.57%"
"04/09/2024","516.90","522.23","525.87","506.74","10.88M","-0.45%"
"04/08/2024","519.25","529.28","531.49","518.89","13.26M","-1.53%"
"04/05/2024","527.34","516.85","530.70","514.41","19.26M","3.21%"
"04/04/2024","510.92","516.42","530.00","510.58","26.48M","0.82%"
