date,ticker,actual,predicted
2024-09-20,AAPL,228.1999969482422,225.30945
2024-09-23,AAPL,226.47000122070312,224.78403
2024-09-24,AAPL,227.36999511718753,224.69316
2024-09-25,AAPL,226.3699951171875,225.16957
2024-09-26,AAPL,227.5200042724609,224.19186
2024-09-27,AAPL,227.7899932861328,224.97945
2024-09-30,AAPL,233.0,224.94943
2024-10-01,AAPL,226.2100067138672,228.18391
2024-10-02,AAPL,226.77999877929688,223.87114
2024-10-03,AAPL,225.6699981689453,225.0742
2024-10-04,AAPL,226.8000030517578,223.55725
2024-10-07,AAPL,221.69000244140625,224.3469
2024-10-08,AAPL,225.7700042724609,220.83717
2024-10-09,AAPL,229.5399932861328,223.86354
2024-10-10,AAPL,229.0399932861328,225.67458
2024-10-11,AAPL,227.5500030517578,225.5438
2024-10-14,AAPL,231.30000305175778,225.21011
2024-10-15,AAPL,233.8500061035156,227.45862
2024-10-16,AAPL,231.77999877929688,228.44867
2024-10-17,AAPL,232.1499938964844,227.57697
2024-10-18,AAPL,235.0,228.18779
2024-10-21,AAPL,236.47999572753903,229.37839
2024-10-22,AAPL,235.8600006103516,229.99313
2024-10-23,AAPL,230.75999450683594,229.93279
2024-10-24,AAPL,230.57000732421872,227.33719
2024-10-25,AAPL,231.41000366210935,227.31511
2024-10-28,AAPL,233.3999938964844,227.13548
2024-09-20,AMZN,191.6000061035156,189.74089
2024-09-23,AMZN,193.8800048828125,189.83032
2024-09-24,AMZN,193.9600067138672,193.27306
2024-09-25,AMZN,192.52999877929688,192.79472
2024-09-26,AMZN,191.16000366210935,192.79149
2024-09-27,AMZN,187.97000122070312,190.94864
2024-09-30,AMZN,186.3300018310547,187.84764
2024-10-01,AMZN,185.1300048828125,186.4946
2024-10-02,AMZN,184.75999450683597,184.43575
2024-10-03,AMZN,181.9600067138672,184.68446
2024-10-04,AMZN,186.50999450683597,181.7941
2024-10-07,AMZN,180.8000030517578,187.3242
2024-10-08,AMZN,182.72000122070312,179.52365
2024-10-09,AMZN,185.1699981689453,185.97649
2024-10-10,AMZN,186.6499938964844,184.20567
2024-10-11,AMZN,188.82000732421875,187.27847
2024-10-14,AMZN,187.5399932861328,188.58243
2024-10-15,AMZN,187.69000244140625,187.99484
2024-10-16,AMZN,186.88999938964844,188.80472
2024-10-17,AMZN,187.52999877929688,187.03244
2024-10-18,AMZN,188.9900054931641,188.07997
2024-10-21,AMZN,189.07000732421875,188.21494
2024-10-22,AMZN,189.6999969482422,188.64566
2024-10-23,AMZN,184.7100067138672,189.5391
2024-10-24,AMZN,186.3800048828125,184.74643
2024-10-25,AMZN,187.8300018310547,188.20715
2024-10-28,AMZN,188.38999938964844,186.21324
2024-09-20,GOOGL,163.58999633789062,164.57101
2024-09-23,GOOGL,161.85000610351562,166.04414
2024-09-24,GOOGL,162.2899932861328,165.01535
