date,ticker,finbert_score
2023-11-13,AAPL,-0.9984102249145508
2023-11-13,AMZN,-0.004713594913482666
2023-11-13,MSFT,0.0
2023-11-13,TSLA,0.1965615153312683
2023-11-14,AAPL,0.9989534616470337
2023-11-14,AMZN,0.15553945302963257
2023-11-14,GOOGL,-0.7131164371967316
2023-11-14,MSFT,0.0
2023-11-14,NVDA,0.8640862703323364
2023-11-14,TSLA,0.0
2023-11-15,GOOGL,0.49929314851760864
2023-11-15,NVDA,0.0
2023-11-15,TSLA,0.0
2023-11-16,AAPL,-0.07030812899271648
2023-11-16,AMZN,0.34045957977121527
2023-11-16,GOOGL,0.0
2023-11-16,META,0.0
2023-11-16,MSFT,0.6634830633799235
2023-11-16,TSLA,0.0
2023-11-17,AAPL,0.0
2023-11-17,AMZN,-0.24840468168258667
2023-11-17,META,-0.6400249004364014
2023-11-17,MSFT,0.0
2023-11-17,NVDA,0.9641501903533936
2023-11-20,GOOGL,0.0
2023-11-20,META,0.0
2023-11-20,TSLA,0.0
2023-11-21,AAPL,0.499190092086792
2023-11-21,AMZN,0.99698406457901
2023-11-21,MSFT,0.0
2023-11-21,NVDA,0.9989452958106995
2023-11-21,TSLA,-0.4767289161682129
2023-11-22,AAPL,-0.967224657535553
2023-11-22,AMZN,0.014542627334594726
2023-11-22,GOOGL,-0.06135505437850952
2023-11-22,META,-0.9957042336463928
2023-11-22,MSFT,0.42667261191776823
2023-11-22,NVDA,0.4281214986528669
2023-11-24,AMZN,-0.655864934126536
2023-11-24,META,0.0
2023-11-24,NVDA,0.27450406551361084
2023-11-24,TSLA,0.36569109559059143
2023-11-27,AAPL,0.029959768056869507
2023-11-27,AMZN,-0.6544800996780396
2023-11-27,META,-0.9414811134338379
2023-11-27,TSLA,-0.5914513245224953
2023-11-28,AAPL,0.0
2023-11-28,AMZN,0.5262096557352278
2023-11-28,MSFT,-0.23645837604999542
2023-11-28,NVDA,0.9932077527046204
2023-11-28,TSLA,0.0
2023-11-29,AAPL,0.7522276043891907
2023-11-29,AMZN,0.4272450804710388
2023-11-29,GOOGL,0.9733732640743256
2023-11-29,META,0.0
2023-11-29,MSFT,0.0
2023-11-29,NVDA,0.9988896250724792
2023-11-29,TSLA,-0.20759780704975128
2023-11-30,AAPL,0.49852703511714935
2023-11-30,AMZN,0.0
2023-11-30,MSFT,0.0
2023-12-01,AAPL,0.3026816447575887
2023-12-01,AMZN,0.6634732484817505
2023-12-01,META,0.0
2023-12-01,MSFT,-0.9183268547058105
2023-12-01,TSLA,-0.0017559230327606201
2023-12-04,AAPL,-0.49711085359255475
2023-12-04,AMZN,0.49827760457992554
2023-12-04,META,-0.9862923979759216
2023-12-04,NVDA,0.48913708329200745
2023-12-04,TSLA,-0.9986887574195862
2023-12-05,AMZN,-0.9975952506065369
2023-12-06,AMZN,-0.49504750967025757
2023-12-06,GOOGL,0.0
2023-12-06,META,0.0
2023-12-06,MSFT,0.0
2023-12-06,NVDA,0.0
2023-12-06,TSLA,0.0
2023-12-07,AAPL,-0.007119584083557129
2023-12-07,GOOGL,0.7776893973350525
2023-12-07,META,0.6291601061820984
2023-12-07,TSLA,-0.04226762056350708
