Ticker,Model,MAE,MAPE_%
AAPL,MLP,4.420341787471061,1.9160054430073865
AAPL,LSTM,3.8736258615451344,1.677908553943958
AAPL,FinBERT-LSTM,2.3144421231192065,1.0024203948527315
AMZN,MLP,1.951478193359378,1.0415899886376463
AMZN,LSTM,1.9342922222222272,1.0372541789231442
AMZN,FinBERT-LSTM,2.897283821976274,1.5448963737992507
GOOGL,MLP,1.3304016362847209,0.8116063661724876
GOOGL,LSTM,3.113462483000578,1.903351769985627
GOOGL,FinBERT-LSTM,1.6046442201967592,0.9764452180720578
META,MLP,58.99358529296875,10.212666896938646
META,LSTM,30.152014552228007,5.211266778512874
META,FinBERT-LSTM,35.560031589265044,6.146658804519773
MSFT,MLP,3.1225386071325136,0.7381379693228745
MSFT,LSTM,2.4999884906683985,0.5920165475745329
MSFT,FinBERT-LSTM,2.998594253110521,0.7085770408041685
NVDA,MLP,5.7028786327582495,4.294037345155897
NVDA,LSTM,3.6023284399052384,2.7169709537754914
NVDA,FinBERT-LSTM,6.584542190230759,4.887690517612794
TSLA,MLP,12.915917010995365,5.227658465843369
TSLA,LSTM,6.648922411747684,2.6855237937672545
TSLA,FinBERT-LSTM,9.392708645471643,3.802873669259691
