sent_model,target,ticker,approach,mae,dir_acc
FinBERT,cc,MSFT,Gated-Naive,0.007941498147382453,0.1111111111111111
FinBERT,cc,MSFT,Sent×Vol,0.007911588081067867,0.37777777777777777
FinBERT,cc,MSFT,Dir-Nudge,0.007901710593846523,0.0
FinBERT,cc,MSFT,Extreme-Mag,0.00819615153167923,0.1111111111111111
FinBERT,cc,MSFT,Bayesian,0.00790497791444789,0.37777777777777777
FinBERT,cc,MSFT,Ridge,0.009089966895586296,0.4888888888888889
FinBERT,cc,NVDA,Naive,0.023099850407138536,0.0
FinBERT,cc,NVDA,Gated-Naive,0.02227204967043805,0.15555555555555556
FinBERT,cc,NVDA,Sent×Vol,0.020924941852120522,0.4222222222222222
FinBERT,cc,NVDA,Dir-Nudge,0.023099850407138536,0.0
FinBERT,cc,NVDA,Extreme-Mag,0.023350191509683295,0.15555555555555556
FinBERT,cc,NVDA,Bayesian,0.02161510751226957,0.4222222222222222
FinBERT,cc,NVDA,Ridge,0.020221707143271157,0.6888888888888889
FinBERT,cc,TSLA,Naive,0.027569892187314003,0.0
FinBERT,cc,TSLA,Gated-Naive,0.027569892187314003,0.0
FinBERT,cc,TSLA,Sent×Vol,0.027569892187314003,0.0
FinBERT,cc,TSLA,Dir-Nudge,0.027569892187314003,0.0
FinBERT,cc,TSLA,Extreme-Mag,0.027569892187314003,0.0
FinBERT,cc,TSLA,Bayesian,0.027569892187314003,0.0
FinBERT,cc,TSLA,Ridge,0.02765710512388198,0.5555555555555556
Qwen2.5,gap,AAPL,Naive,0.006933159102138145,0.0
Qwen2.5,gap,AAPL,Gated-Naive,0.006933159102138145,0.0
Qwen2.5,gap,AAPL,Sent×Vol,0.006906251104381139,0.4090909090909091
Qwen2.5,gap,AAPL,Dir-Nudge,0.006933159102138145,0.0
Qwen2.5,gap,AAPL,Extreme-Mag,0.006933159102138145,0.0
Qwen2.5,gap,AAPL,Bayesian,0.006918753276183039,0.4090909090909091
Qwen2.5,gap,AAPL,Ridge,0.007672834888495464,0.5227272727272727
Qwen2.5,gap,AMZN,Naive,0.006309142682461388,0.0
Qwen2.5,gap,AMZN,Gated-Naive,0.006309142682461388,0.0
Qwen2.5,gap,AMZN,Sent×Vol,0.006309142682461388,0.0
Qwen2.5,gap,AMZN,Dir-Nudge,0.006309142682461388,0.0
Qwen2.5,gap,AMZN,Extreme-Mag,0.006309142682461388,0.0
Qwen2.5,gap,AMZN,Bayesian,0.006309142682461388,0.0
Qwen2.5,gap,AMZN,Ridge,0.006858788040905883,0.45454545454545453
Qwen2.5,gap,GOOGL,Naive,0.00633826473519132,0.0
Qwen2.5,gap,GOOGL,Gated-Naive,0.00633826473519132,0.0
Qwen2.5,gap,GOOGL,Sent×Vol,0.00633826473519132,0.0
Qwen2.5,gap,GOOGL,Dir-Nudge,0.00633826473519132,0.0
Qwen2.5,gap,GOOGL,Extreme-Mag,0.00633826473519132,0.0
Qwen2.5,gap,GOOGL,Bayesian,0.00633826473519132,0.0
Qwen2.5,gap,GOOGL,Ridge,0.006341403421805795,0.5555555555555556
Qwen2.5,gap,META,Naive,0.006006785990208977,0.0
Qwen2.5,gap,META,Gated-Naive,0.006006785990208977,0.0
Qwen2.5,gap,META,Sent×Vol,0.006006785990208977,0.0
Qwen2.5,gap,META,Dir-Nudge,0.006006785990208977,0.0
Qwen2.5,gap,META,Extreme-Mag,0.006006785990208977,0.0
Qwen2.5,gap,META,Bayesian,0.006127976505247856,0.2
Qwen2.5,gap,META,Ridge,0.006955119653599053,0.5333333333333333
Qwen2.5,gap,MSFT,Naive,0.004763336335085546,0.0
Qwen2.5,gap,MSFT,Gated-Naive,0.004763336335085546,0.0
Qwen2.5,gap,MSFT,Sent×Vol,0.004763336335085546,0.0
Qwen2.5,gap,MSFT,Dir-Nudge,0.004763336335085546,0.0
Qwen2.5,gap,MSFT,Extreme-Mag,0.004763336335085546,0.0
Qwen2.5,gap,MSFT,Bayesian,0.004763336335085546,0.0
Qwen2.5,gap,MSFT,Ridge,0.004536959433630398,0.6666666666666666
Qwen2.5,gap,NVDA,Naive,0.011581374583939385,0.0
Qwen2.5,gap,NVDA,Gated-Naive,0.011581374583939385,0.0
Qwen2.5,gap,NVDA,Sent×Vol,0.011581374583939385,0.0
Qwen2.5,gap,NVDA,Dir-Nudge,0.011581374583939385,0.0
Qwen2.5,gap,NVDA,Extreme-Mag,0.011581374583939385,0.0
