model,target,ticker,mae_mean,mae_std,dir_acc_mean,dir_acc_std
DeBERTa,gap,AAPL,0.007307893130928278,0.0002098958044766906,48.57142857142858,1.999583463496472
DeBERTa,gap,AMZN,0.006685992609709502,0.00017573179411489598,46.53061224489796,5.82973749268804
DeBERTa,gap,GOOGL,0.00717873964458704,0.0001821679449345021,39.183673469387756,2.3799803652429783
DeBERTa,gap,META,0.009787154849618673,0.0028577222260352917,66.53061224489795,2.7682979522960283
DeBERTa,gap,MSFT,0.005816227383911609,0.00035071578914440274,67.3469387755102,0.0
DeBERTa,gap,NVDA,0.011785337515175343,0.00018861387063538209,58.36734693877551,1.6326530612244916
DeBERTa,gap,TSLA,0.01635942719876766,0.000347510049601839,48.57142857142858,3.511153170221478
DeBERTa,cc,AAPL,0.009499889984726905,6.44197184545272e-05,46.93877551020408,2.2356022755312908
DeBERTa,cc,AMZN,0.012695479951798917,0.00010945992120228018,39.183673469387756,2.3799803652429787
DeBERTa,cc,GOOGL,0.010156162828207017,9.284924173899706e-05,56.326530612244895,2.4489795918367347
DeBERTa,cc,META,0.012161220610141753,0.0005857863552880142,50.612244897959194,0.8163265306122458
DeBERTa,cc,MSFT,0.008131169714033604,8.342278684904049e-05,53.87755102040816,1.6326530612244865
DeBERTa,cc,NVDA,0.02429234832525253,0.0004912567687055425,53.87755102040816,2.768297952296026
DeBERTa,cc,TSLA,0.030523280426859856,0.0012652284869118602,47.75510204081633,2.7682979522960287
FinBERT,gap,AAPL,0.007365378364920616,0.00038598637327316493,41.63265306122449,4.931855499426356
FinBERT,gap,AMZN,0.006550110317766667,0.00014310154998214755,50.204081632653065,5.8582449364927855
FinBERT,gap,GOOGL,0.007377724908292293,0.0002088798023834639,39.59183673469388,2.448979591836733
FinBERT,gap,META,0.008089342713356018,0.0017448869039991524,64.08163265306122,4.202298016729388
FinBERT,gap,MSFT,0.006565268244594335,0.0010230857251242436,67.3469387755102,0.0
FinBERT,gap,NVDA,0.012494645453989506,0.0005941223650099621,58.77551020408164,1.5272070966424267
FinBERT,gap,TSLA,0.01582789495587349,0.00013253654228441563,46.12244897959184,5.414897616906774
FinBERT,cc,AAPL,0.009383765421807766,0.00011867747801491964,51.42857142857142,3.2653061224489766
FinBERT,cc,AMZN,0.012456576712429524,5.816075455527516e-05,48.57142857142856,6.998542122237652
FinBERT,cc,GOOGL,0.010550258494913579,0.00017423885694733683,44.89795918367348,2.2356022755312908
FinBERT,cc,META,0.011292301677167415,0.0008914325786349702,54.69387755102041,0.8163265306122415
FinBERT,cc,MSFT,0.008103836514055728,5.403289907298966e-05,54.69387755102041,0.8163265306122415
FinBERT,cc,NVDA,0.02559106722474098,0.0008482329864528672,57.551020408163254,0.8163265306122458
FinBERT,cc,TSLA,0.029767626151442527,0.0012261537356659587,50.204081632653065,1.6326530612244916
Gemma-3-1B,gap,AAPL,0.0070834698155522345,0.0001061440983345277,42.857142857142854,4.47120455106258
Gemma-3-1B,gap,AMZN,0.00711169820278883,0.00022096406709634994,55.10204081632652,0.0
Gemma-3-1B,gap,GOOGL,0.007444576360285282,0.00017284447397757479,36.734693877551024,3.8721767267367904
Gemma-3-1B,gap,META,0.007769499998539686,0.0012671375514969928,63.6734693877551,2.379980365242978
Gemma-3-1B,gap,MSFT,0.005567905679345131,0.00039610131076048754,67.3469387755102,0.0
