date,ticker,actual,predicted
2024-09-20,AAPL,228.1999969482422,218.41632
2024-09-23,AAPL,226.47000122070312,220.10185
2024-09-24,AAPL,227.36999511718753,218.65663
2024-09-25,AAPL,226.3699951171875,218.794
2024-09-26,AAPL,227.5200042724609,217.67686
2024-09-27,AAPL,227.7899932861328,217.65074
2024-09-30,AAPL,233.0,218.331
2024-10-01,AAPL,226.2100067138672,222.49625
2024-10-02,AAPL,226.77999877929688,219.32932
2024-10-03,AAPL,225.6699981689453,217.6493
2024-10-04,AAPL,226.8000030517578,216.7459
2024-10-07,AAPL,221.69000244140625,217.58743
2024-10-08,AAPL,225.7700042724609,214.2515
2024-10-09,AAPL,229.5399932861328,215.90433
2024-10-10,AAPL,229.0399932861328,219.87337
2024-10-11,AAPL,227.5500030517578,220.52823
2024-10-14,AAPL,231.30000305175778,218.82541
2024-10-15,AAPL,233.8500061035156,221.09766
2024-10-16,AAPL,231.77999877929688,223.76855
2024-10-17,AAPL,232.1499938964844,222.71208
2024-10-18,AAPL,235.0,222.04836
2024-10-21,AAPL,236.47999572753903,224.4906
2024-10-22,AAPL,235.8600006103516,226.19006
2024-10-23,AAPL,230.75999450683594,225.76173
2024-10-24,AAPL,230.57000732421872,221.95071
2024-10-25,AAPL,231.41000366210935,220.93352
2024-10-28,AAPL,233.3999938964844,221.40547
2024-09-20,AMZN,191.6000061035156,185.847
2024-09-23,AMZN,193.8800048828125,187.70692
2024-09-24,AMZN,193.9600067138672,190.06245
2024-09-25,AMZN,192.52999877929688,191.4429
2024-09-26,AMZN,191.16000366210935,191.88591
2024-09-27,AMZN,187.97000122070312,190.56416
2024-09-30,AMZN,186.3300018310547,188.7059
2024-10-01,AMZN,185.1300048828125,186.84515
2024-10-02,AMZN,184.75999450683597,184.84926
2024-10-03,AMZN,181.9600067138672,183.78484
2024-10-04,AMZN,186.50999450683597,181.42233
2024-10-07,AMZN,180.8000030517578,184.93127
2024-10-08,AMZN,182.72000122070312,181.22238
2024-10-09,AMZN,185.1699981689453,182.76025
2024-10-10,AMZN,186.6499938964844,184.51779
2024-10-11,AMZN,188.82000732421875,185.1713
2024-10-14,AMZN,187.5399932861328,186.07481
2024-10-15,AMZN,187.69000244140625,187.47847
2024-10-16,AMZN,186.88999938964844,186.7464
2024-10-17,AMZN,187.52999877929688,186.94357
2024-10-18,AMZN,188.9900054931641,186.6713
2024-10-21,AMZN,189.07000732421875,186.5493
2024-10-22,AMZN,189.6999969482422,187.20035
2024-10-23,AMZN,184.7100067138672,187.78198
2024-10-24,AMZN,186.3800048828125,186.23589
2024-10-25,AMZN,187.8300018310547,186.38922
2024-10-28,AMZN,188.38999938964844,186.59917
